datetime,open,high,low,close,volume
2025-05-12 09:15:00,29305.0,29660.0,29305.0,29405.0,473
2025-05-12 09:30:00,29465.0,29545.0,29435.0,29495.0,653
2025-05-12 09:45:00,29495.0,29630.0,29455.0,29610.0,776
2025-05-12 10:00:00,29580.0,29660.0,29550.0,29610.0,1011
2025-05-12 10:15:00,29610.0,29665.0,29595.0,29610.0,1137
2025-05-12 10:30:00,29540.0,29660.0,29540.0,29630.0,834
2025-05-12 10:45:00,29645.0,29755.0,29605.0,29720.0,927
2025-05-12 11:00:00,29710.0,29710.0,29695.0,29695.0,997
2025-05-12 11:15:00,29660.0,29665.0,29475.0,29475.0,1155
2025-05-12 11:30:00,29525.0,29565.0,29510.0,29560.0,1316
2025-05-12 11:45:00,29485.0,29525.0,29300.0,29300.0,2593
2025-05-12 12:00:00,29285.0,29315.0,29125.0,29170.0,3178
2025-05-12 12:15:00,29130.0,29295.0,29100.0,29290.0,3751
2025-05-12 12:30:00,29300.0,29400.0,29260.0,29335.0,4621
2025-05-12 12:45:00,29335.0,29345.0,29305.0,29325.0,3205
2025-05-12 13:00:00,29345.0,29365.0,29240.0,29315.0,3354
2025-05-12 13:15:00,29315.0,29355.0,29280.0,29280.0,3374
2025-05-12 13:30:00,29300.0,29330.0,29285.0,29285.0,5126
2025-05-12 13:45:00,29280.0,29310.0,29270.0,29285.0,5189
2025-05-12 14:00:00,29285.0,29330.0,29220.0,29220.0,1765
2025-05-12 14:15:00,29230.0,29340.0,29230.0,29275.0,5393
2025-05-12 14:30:00,29315.0,29350.0,29270.0,29300.0,5571
2025-05-12 14:45:00,29250.0,29260.0,29165.0,29200.0,6270
2025-05-12 15:00:00,29200.0,29345.0,29150.0,29170.0,8038
2025-05-12 15:15:00,29175.0,29215.0,29120.0,29150.0,9415
2025-05-13 09:15:00,29295.0,29630.0,29295.0,29625.0,812
2025-05-13 09:30:00,29645.0,29705.0,29570.0,29650.0,1504
2025-05-13 09:45:00,29670.0,29835.0,29665.0,29755.0,2048
2025-05-13 10:00:00,29760.0,29850.0,29755.0,29850.0,2342
2025-05-13 10:15:00,29810.0,29845.0,29705.0,29745.0,2869
2025-05-13 10:30:00,29680.0,29800.0,29680.0,29765.0,2048
2025-05-13 10:45:00,29765.0,29765.0,29710.0,29745.0,3180
2025-05-13 11:00:00,29730.0,29745.0,29700.0,29735.0,2220
2025-05-13 11:15:00,29735.0,29740.0,29700.0,29725.0,3463
2025-05-13 11:30:00,29725.0,29780.0,29720.0,29745.0,3595
2025-05-13 11:45:00,29720.0,29760.0,29720.0,29725.0,3675
2025-05-13 12:00:00,29750.0,29750.0,29630.0,29630.0,3822
2025-05-13 12:15:00,29660.0,29670.0,29565.0,29605.0,4111
2025-05-13 12:30:00,29605.0,29625.0,29585.0,29610.0,4241
2025-05-13 12:45:00,29610.0,29670.0,29610.0,29620.0,4362
2025-05-13 13:00:00,29625.0,29625.0,29575.0,29585.0,4462
2025-05-13 13:15:00,29600.0,29600.0,29425.0,29505.0,4673
2025-05-13 13:30:00,29540.0,29540.0,29410.0,29445.0,4977
2025-05-13 13:45:00,29445.0,29455.0,29380.0,29380.0,5298
2025-05-13 14:00:00,29380.0,29400.0,29355.0,29355.0,5479
2025-05-13 14:15:00,29385.0,29400.0,29250.0,29260.0,6412
2025-05-13 14:30:00,29250.0,29300.0,29250.0,29270.0,7415
2025-05-13 14:45:00,29280.0,29295.0,29255.0,29265.0,5181
2025-05-13 15:00:00,29275.0,29295.0,29075.0,29100.0,9699
2025-05-13 15:15:00,29080.0,29100.0,29050.0,29080.0,13319
2025-05-14 09:15:00,29395.0,29395.0,29100.0,29280.0,718
2025-05-14 09:30:00,29285.0,29415.0,29280.0,29310.0,1103
2025-05-14 09:45:00,29325.0,29630.0,29250.0,29505.0,1769
2025-05-14 10:00:00,29590.0,29670.0,29440.0,29580.0,3912
2025-05-14 10:15:00,29560.0,29600.0,29490.0,29520.0,4179
2025-05-14 10:30:00,29520.0,29575.0,29495.0,29560.0,4333
