datetime,open,high,low,close,volume
2025-05-12 09:15:00,914.9,934.5,914.9,933.3,2392911
2025-05-12 09:30:00,933.25,938.8,931.55,932.85,4265773
2025-05-12 09:45:00,932.85,943.5,932.85,939.1,5726265
2025-05-12 10:00:00,939.6,941.45,934.5,934.95,6752185
2025-05-12 10:15:00,935.5,939.35,935.05,937.45,7239874
2025-05-12 10:30:00,937.2,938.4,933.5,936.75,7855468
2025-05-12 10:45:00,936.9,938.5,935.0,935.2,8295688
2025-05-12 11:00:00,935.5,941.8,933.1,939.0,8749967
2025-05-12 11:15:00,938.75,939.7,935.3,936.15,9136451
2025-05-12 11:30:00,936.45,937.5,934.05,935.0,9354551
2025-05-12 11:45:00,935.25,935.75,932.65,933.3,9527855
2025-05-12 12:00:00,933.2,934.7,932.65,933.65,9708304
2025-05-12 12:15:00,933.75,933.8,932.1,933.0,9870555
2025-05-12 12:30:00,933.4,936.0,933.25,934.3,10067915
2025-05-12 12:45:00,934.2,935.75,932.75,935.1,10223632
2025-05-12 13:00:00,935.65,935.75,933.0,933.0,10345580
2025-05-12 13:15:00,933.2,936.9,933.15,935.0,10515714
2025-05-12 13:30:00,935.15,936.2,934.2,935.25,10667629
2025-05-12 13:45:00,935.55,936.0,934.1,935.0,10784025
2025-05-12 14:00:00,935.4,935.8,934.45,935.1,10882892
2025-05-12 14:15:00,934.75,937.8,934.0,937.5,11120636
2025-05-12 14:30:00,937.4,941.0,937.4,939.35,11671929
2025-05-12 14:45:00,938.8,945.0,938.55,943.7,12511215
2025-05-12 15:00:00,943.65,944.0,938.45,941.55,13832207
2025-05-12 15:15:00,941.5,943.05,938.55,940.0,18022216
2025-05-13 09:15:00,940.55,949.8,933.75,946.9,1559826
2025-05-13 09:30:00,946.3,962.8,946.05,956.4,3575316
2025-05-13 09:45:00,957.0,958.0,953.9,953.9,4676808
2025-05-13 10:00:00,953.0,958.55,952.25,956.8,5164303
2025-05-13 10:15:00,956.5,959.2,955.7,956.35,5483207
