datetime,open,high,low,close,volume
2025-05-12 09:15:00,222.35,227.06,222.0,222.59,31202
2025-05-12 09:30:00,222.67,224.22,222.0,222.94,56029
2025-05-12 09:45:00,222.94,231.81,221.28,226.99,143443
2025-05-12 10:00:00,226.7,226.7,224.08,224.8,269985
2025-05-12 10:15:00,224.44,229.11,224.2,228.47,327899
2025-05-12 10:30:00,228.46,228.46,226.03,226.32,353433
2025-05-12 10:45:00,225.97,226.53,225.0,225.5,366153
2025-05-12 11:00:00,225.23,226.5,225.23,226.0,374934
2025-05-12 11:15:00,225.72,226.9,225.72,226.62,387827
2025-05-12 11:30:00,226.9,226.95,225.59,225.76,402557
2025-05-12 11:45:00,225.58,225.99,225.39,225.87,409256
2025-05-12 12:00:00,225.95,226.18,225.25,225.4,413493
2025-05-12 12:15:00,225.41,225.84,225.01,225.44,278948
2025-05-12 12:30:00,225.44,227.0,225.44,226.71,421398
2025-05-12 12:45:00,226.71,227.59,226.0,227.01,429102
2025-05-12 13:00:00,227.3,228.82,227.3,228.82,289238
2025-05-12 13:15:00,229.4,229.6,228.96,228.96,442198
2025-05-12 13:30:00,228.96,228.96,226.46,226.87,458584
2025-05-12 13:45:00,226.21,226.76,226.03,226.21,308598
2025-05-12 14:00:00,226.3,227.18,225.91,226.48,466749
2025-05-12 14:15:00,227.04,227.04,226.23,226.27,474008
2025-05-12 14:30:00,226.23,227.25,225.93,226.01,480917
2025-05-12 14:45:00,226.45,228.0,226.45,227.4,491936
2025-05-12 15:00:00,227.0,227.46,225.91,226.0,506405
2025-05-12 15:15:00,226.0,230.0,225.0,227.0,538139
2025-05-13 09:15:00,228.55,228.91,225.77,225.82,14577
2025-05-13 09:30:00,226.59,226.59,223.77,223.77,37039
2025-05-13 09:45:00,224.76,224.76,221.0,221.5,106658
2025-05-13 10:00:00,222.04,222.97,221.0,222.96,135245
2025-05-13 10:15:00,222.9,222.9,221.43,221.5,147285
2025-05-13 10:30:00,221.59,222.47,221.58,222.42,151985
2025-05-13 10:45:00,222.01,222.59,221.51,221.88,158924
2025-05-13 11:00:00,221.89,222.43,221.81,222.03,164749
2025-05-13 11:15:00,222.14,223.05,221.31,223.05,114543
2025-05-13 11:30:00,223.05,223.05,222.02,222.02,174854
2025-05-13 11:45:00,222.55,222.86,222.0,222.62,178357
