datetime,open,high,low,close,volume
2025-05-12 09:15:00,66.6,66.6,66.6,66.6,92
2025-05-12 09:30:00,66.74,66.74,66.6,66.74,915
2025-05-12 09:45:00,66.74,66.74,65.55,66.5,3681
2025-05-12 10:00:00,66.5,66.74,66.5,66.74,10165
2025-05-12 10:15:00,66.74,66.74,65.55,66.74,7405
2025-05-12 10:30:00,66.74,66.74,66.74,66.74,7614
2025-05-12 10:45:00,66.74,66.74,66.74,66.74,8120
2025-05-12 11:00:00,66.74,66.74,65.55,66.74,8413
2025-05-12 11:15:00,66.74,66.74,65.55,65.55,8417
2025-05-12 11:30:00,66.74,66.74,66.74,66.74,4660
2025-05-12 11:45:00,66.74,66.74,66.17,66.74,9541
2025-05-12 12:15:00,66.74,66.74,66.74,66.74,9976
2025-05-12 12:45:00,66.74,66.74,66.74,66.74,11728
2025-05-12 13:30:00,66.74,66.74,66.74,66.74,8114
2025-05-12 14:15:00,66.3,66.3,66.3,66.3,8115
2025-05-12 14:30:00,66.74,66.74,66.74,66.74,8116
2025-05-13 09:15:00,68.05,68.05,68.05,68.05,84
2025-05-13 09:30:00,65.44,65.44,65.44,65.44,2073
2025-05-13 11:00:00,67.08,67.08,66.75,66.75,2080
2025-05-13 11:15:00,68.0,68.0,68.0,68.0,2090
2025-05-13 11:30:00,68.0,68.0,68.0,68.0,2220
2025-05-13 11:45:00,68.0,68.0,68.0,68.0,2255
2025-05-13 12:00:00,68.0,68.0,68.0,68.0,2256
2025-05-13 12:45:00,67.94,67.94,67.94,67.94,2257
2025-05-13 13:00:00,67.8,67.8,67.8,67.8,2272
2025-05-13 13:15:00,67.8,67.8,67.8,67.8,2292
2025-05-13 13:30:00,67.8,67.85,67.03,67.85,7499
2025-05-13 13:45:00,67.95,67.95,67.85,67.85,2608
2025-05-13 14:00:00,67.95,68.0,67.0,67.0,7822
2025-05-13 14:15:00,67.0,67.0,67.0,67.0,8376
2025-05-13 14:30:00,68.0,68.05,68.0,68.05,4291
2025-05-13 14:45:00,68.05,68.07,68.05,68.07,5182
2025-05-13 15:00:00,68.07,68.07,68.07,68.07,5204
2025-05-13 15:15:00,68.07,68.07,68.07,68.07,5214
2025-05-14 09:15:00,68.07,69.4,67.5,67.5,171
2025-05-14 09:30:00,69.4,69.4,69.4,69.4,1652
2025-05-14 09:45:00,68.0,68.0,68.0,68.0,1702
2025-05-14 10:00:00,69.4,69.4,68.01,68.01,1808
2025-05-14 10:15:00,69.39,69.4,68.32,68.32,2391
2025-05-14 10:30:00,68.66,69.4,68.66,68.71,4928
2025-05-14 10:45:00,69.4,69.4,69.4,69.4,2551
2025-05-14 11:00:00,69.43,69.43,68.12,69.43,5314
2025-05-14 11:15:00,69.43,69.43,68.15,68.15,5997
2025-05-14 11:30:00,69.0,69.0,68.51,69.0,10433
2025-05-14 11:45:00,69.0,69.0,69.0,69.0,3886
2025-05-14 12:00:00,69.3,69.43,69.3,69.43,7844
2025-05-14 12:15:00,69.43,69.43,69.43,69.43,4213
2025-05-14 12:30:00,69.43,69.43,69.43,69.43,9410
2025-05-14 12:45:00,69.43,69.43,69.35,69.35,9723
2025-05-14 13:00:00,69.43,69.43,69.43,69.43,9767
2025-05-14 13:45:00,69.43,69.43,69.43,69.43,5224
2025-05-14 14:45:00,69.43,69.43,69.25,69.25,23773
2025-05-14 15:00:00,69.3,69.3,69.0,69.0,24693
2025-05-14 15:15:00,69.3,69.3,69.3,69.3,12519
2025-05-15 09:15:00,70.4,70.4,70.4,70.4,1010
2025-05-15 09:30:00,69.21,70.45,69.21,70.45,4453
2025-05-15 09:45:00,70.45,70.45,70.45,70.45,3257
2025-05-15 10:00:00,70.59,70.59,70.59,70.59,7110
2025-05-15 10:15:00,70.59,70.59,70.59,70.59,3765
2025-05-15 10:30:00,70.59,70.59,70.59,70.59,12537
2025-05-15 10:45:00,70.59,70.59,70.59,70.59,13467
2025-05-15 11:00:00,70.59,70.59,70.59,70.59,6941
2025-05-15 11:15:00,70.59,70.59,70.59,70.59,14368
2025-05-15 11:30:00,70.59,70.59,70.59,70.59,7536
2025-05-15 11:45:00,70.59,70.59,70.59,70.59,7786
2025-05-15 12:00:00,70.59,70.59,70.59,70.59,16872
2025-05-15 12:15:00,70.59,70.59,70.59,70.59,8588
2025-05-15 12:30:00,70.59,70.59,70.59,70.59,8589
2025-05-15 13:30:00,70.59,70.59,70.59,70.59,9189
2025-05-15 14:00:00,70.59,70.59,70.59,70.59,9204
2025-05-15 14:30:00,70.59,70.59,70.59,70.59,9949
2025-05-15 14:45:00,70.59,70.59,70.59,70.59,10104
2025-05-15 15:00:00,70.59,70.59,70.59,70.59,10169
2025-05-16 09:15:00,71.95,71.95,71.5,71.9,1950
2025-05-16 09:30:00,71.9,71.9,71.9,71.9,1740
2025-05-16 09:45:00,71.9,71.9,71.22,71.9,4186
2025-05-16 10:00:00,71.9,71.9,71.5,71.85,3123
2025-05-16 10:15:00,71.5,71.5,71.5,71.5,1683
2025-05-16 10:30:00,71.85,71.85,71.5,71.5,4622
2025-05-16 10:45:00,71.5,71.85,71.5,71.85,4754
2025-05-16 11:00:00,71.85,71.85,71.85,71.85,2816
2025-05-16 11:15:00,71.84,71.84,71.83,71.83,5704
2025-05-16 11:30:00,71.83,71.83,71.5,71.5,5826
2025-05-16 11:45:00,71.83,71.83,71.83,71.83,6014
2025-05-16 12:00:00,71.51,71.51,71.51,71.51,3018
2025-05-16 12:15:00,71.84,71.84,71.51,71.51,6351
2025-05-16 13:00:00,71.52,71.84,71.51,71.51,4287
2025-05-16 13:15:00,71.5,71.84,71.5,71.83,8928
2025-05-16 13:30:00,71.51,71.51,71.51,71.51,8941
2025-05-16 14:15:00,71.51,71.51,71.5,71.5,4571
2025-05-16 14:45:00,71.5,71.94,71.5,71.94,10262
2025-05-16 15:00:00,71.94,72.0,71.94,72.0,11876
2025-05-16 15:15:00,72.0,72.0,72.0,72.0,16992
2025-05-19 09:15:00,73.4,73.4,73.4,73.4,655
2025-05-19 09:30:00,73.0,73.4,73.0,73.0,766
2025-05-19 09:45:00,73.0,73.4,73.0,73.0,1493
2025-05-19 10:00:00,73.4,73.4,73.39,73.39,1852
2025-05-19 10:15:00,73.39,73.39,73.0,73.39,708
2025-05-19 10:30:00,73.0,73.39,73.0,73.39,1554
2025-05-19 10:45:00,73.0,73.4,72.0,72.0,2661
2025-05-19 11:00:00,73.0,73.0,73.0,73.0,928
2025-05-19 11:15:00,72.0,73.0,72.0,73.0,2456
2025-05-19 11:45:00,73.0,73.39,73.0,73.39,2906
2025-05-19 12:00:00,73.38,73.38,73.38,73.38,1481
2025-05-19 12:15:00,73.39,73.39,73.0,73.39,1488
2025-05-19 12:30:00,73.39,73.39,73.39,73.39,1490
2025-05-19 13:00:00,73.39,73.39,73.0,73.0,1817
2025-05-19 13:15:00,73.0,73.0,73.0,73.0,1917
2025-05-19 13:30:00,73.39,73.39,73.39,73.39,3837
2025-05-19 13:45:00,73.39,73.39,73.39,73.39,1930
2025-05-19 14:00:00,73.3,73.3,73.3,73.3,1955
2025-05-19 14:15:00,73.39,73.39,73.39,73.39,2019
2025-05-19 14:30:00,73.39,73.39,73.39,73.39,4048
2025-05-19 14:45:00,73.39,73.39,73.0,73.0,7221
2025-05-19 15:00:00,73.39,73.42,73.39,73.42,7039
2025-05-19 15:15:00,73.42,73.42,73.42,73.42,3782
2025-05-20 09:15:00,73.5,74.84,73.0,74.83,827
2025-05-20 09:30:00,74.0,74.0,72.4,72.4,620
2025-05-20 09:45:00,74.0,74.0,72.0,72.0,2382
2025-05-20 10:00:00,72.0,73.9,72.0,73.9,2963
2025-05-20 10:15:00,72.26,73.74,72.0,72.0,7244
2025-05-20 10:30:00,72.0,72.0,72.0,72.0,9095
2025-05-20 10:45:00,71.92,71.92,71.92,71.92,4742
2025-05-20 11:00:00,71.92,71.92,71.92,71.92,4770
2025-05-20 11:15:00,71.92,71.92,71.92,71.92,9703
2025-05-20 11:30:00,71.92,71.92,71.92,71.92,9716
2025-05-20 11:45:00,71.92,71.92,71.92,71.92,9748
2025-05-20 12:15:00,71.92,72.0,71.92,72.0,10541
2025-05-20 12:30:00,72.0,72.0,72.0,72.0,10713
2025-05-20 13:00:00,72.0,72.0,72.0,72.0,5371
2025-05-20 13:15:00,72.0,72.0,72.0,72.0,11001
2025-05-20 13:30:00,72.0,72.0,72.0,72.0,5711
2025-05-20 13:45:00,72.0,72.0,71.92,71.92,5721
2025-05-20 14:45:00,71.92,71.92,71.92,71.92,5723
